toki pona, english
WAWA*,"n energy, strength, power mod energetic, strong, fast, loud, rapid, quick, fierce, intense, sure, confident vt strengthen, energize, empower"
We tied,mi tu li sewi
weka,vt get rid of
weka,mod missing
weka,except(?)
weka,mod far
weka,except
weka ... tan ma ike,"vt save, rescue"
weka e ike jan,vphr forgive sb
weka e jaki tan,vphr clean sb
weka e lipu tan kulupu lipu,remove a card
weka lili,"n temporary isolation, separation, short time apart, break (in a relationship)"
weka lili li pona tawa lawa.,Temporary isolation is good for meditation.
weka lon,throw/stay out
weka mi,"far from me, away from me"
weka pi jan jaki,quarantine
weka tan,far
weka tan kama sin en kama moli,moksha
WEKA*,"mod away, absent, missing n absence vi to be gone, to be away, to be absent vt throw away, remove, get rid of, do away with, dispose of, eliminate"
Wesi,wei qi
wile,mod necessary
wile,n need vt need
wile,vt must
wile,vt have to
wile ala unpa,"vphr not want intercourse, not be in the mood"
wile e pona tawa jan,"vphr to wish sb well, to wish sb the best"
wile e sona,wonder
wile ike,"vphr to have negative intentions, to be malevolent"
wile lape,"vphr to be sleepy, to need rest"
wile lawa,vphr to be dominant
wile lukin,"vt look for, search for, seek"
wile moku,vi to be hungry
wile moku e telo,vi be thirsty
wile moku e telo,vphr to be thirsty
wile moli,vi to be suicidal
wile moli e jan,"vphr to be homicidal, to want to murder, to be bloodthirsty"
wile mute,"vt to crave, really want, desire"
wile mute ike,"vphr to want too much, to be greedy"
wile ni li pona,Good idea!
wile pali,try
wile pali e ijo,"vphr to want to do something, to be bored"
wile pana e pona (tawa jan),vphr to be helpful (to sb)
wile pi jan ike li pakala e ijo.,The desires of evil people mess things up.
wile pona,"vphr to have good intentions, to mean well"
wile sona,"curiosity, question"
wile sona e ijo,ask about
wile sona li mute e sona.,Curiosity feeds wisdom. One learns by asking questions.
wile soweli,"n instinct, drive vi to want instinctually"
wile tawa,vphr to want to travel
wile tawa weka,vphr to want to leave
wile unpa,"vphr to be aroused, to be horny/lustful"
wile unpa e (jan),"vt to want (sexually), to be attracted to"
wile unpa e meli,vphr to be sexually attracted to women
wile unpa e meli e mije,"vphr to be bisexual, attracted to men and women"
wile unpa e mije,vphr to be sexually attracted to men
WILE*,"vt want, need, wish, desire, would like, hope, have to, must, should, choose, ought to n will, desire mod necessary"
X li kepeken e Y li …,X uses Y for …
X pana e pilin tawa mi,I care about X
,
,
tomo lipu,n library(?)
