toki pona, english
jo e kon jaki,vphr have bad breath (halitosis?)
jo e len,vi get dressed
jo e linja mute,be hairy
jo e linja mute,vphr to be hair
jo e mani mute,vphr to be rich
jo e pilin pona,"vphr to have positive feelings, to be mentally healthy"
jo e selo lon pini palisa,vphr to be uncircumcised
jo e sijelo pona :: to be (physically) healthy ,
jo e tenpo suno sike mute,live many years
jo e wawa pilin,smart
jo ijo li ike e jan.,Possession corrupts.
jo luka e soweli ali tu,?
jo pi sike suno lili,young (age)
jo pi sike suno mute,old (aged)
jo wawa,"grasp, grip, clutch"
JO*,"n ownership, possession, property vt to have, contain"
"job, employment",pali awen
"journalist, reporter",jan pi sona sin
juice n telo,
,
kala kiwen,submarine
kala ko,jellyfish
kala lete,"n raw fish, sushi"
kala pi luka linja mute,jellyfish
kala pi luka palisa,squid
kala pi luka wawa,crab
kala pi pana pi telo pimeja,squid
kala pi selo kiwen,crab
kala pi tawa monsi,crab
kala pi waso lili,flying fish
kala sike,jellyfish
kala soweli suli,whale
kala suli suwi,dolphin
kala tomo,aquarium fish
kala waso,flying fish
KALA*,"n fish, water-abiding animal, seafood, sea creature"
kalama,n vt sound
kalama,"n noise, sound vi noise, sound"
kalama ala,silent
kalama ala li lon.,No sound exists. It is silent.
kalama la,As for names
kalama lili,sound (phoneme)
kalama lili,phoneme
kalama lili,n sound
kalama lili awen,n consonant
kalama lili awen,consonant
kalama lili tawa,vowel
kalama lili tawa,n vowel
kalama monsi,"fart, poot"
kalama musi,"music, song"
kalama musi,song
kalama musi,"n song, music"
kalama musi ,sing (without words)
"kalama musi ""Jingle Bells"" li pona tawa mi. :: I like the song ""Jingle Bells"". ",
kalama musi en meli li pona tawa mi. :: I like music and girls. ,
kalama musi en meli li pona tawa mi. :: I like music and girls. ,
kalama musi li pona tawa mi. :: I like music. ,
kalama musi pi jan Elton-John li nasa. :: The music of Elton John is odd. ,
kalama musi pi jan Enja li pona. :: Enya's music is good. ,
kalama musi pi pona tawa Pakawan,kirtan
kalama musi sewi,"kirtan, ritual dance"
kalama musi toki,opera
kalama musi uta,sing
kalama mute,"make loud, emphasize (in speech)"
kalama mute ike,"noise, racket"
kalama ni li seme? :: What was that noise? ,
kalama nimi,syllable
kalama nimi,phoneme
kalama pi kon ante,consonant
kalama pi kon awen,vowel
kalama telo,splash
KALAMA*,"n sound, voice, noise vi make noise vt sound, ring, play (an instrument)"
kama,vi happen
kama,n event
kama,"identical, x en y kama z, x+y = z"
kama,vt summon
kama,vi start to
kama anpa,v fall
kama anpa,vt drop
kama e,"bring, fetch, carry"
kama e …,"becomes, gives rise to, causes"
kama e …,bring
kama e jan wawa,became strong men (heroes?)
kama e telo,became water
kama insa,"come into, enter"
kama jaki ala,clean up
kama jaki ala,clean up
kama jo,vt get
kama jo,"to take, to get"
kama jo,"vt receive, get, obtain"
kama jo,"vt receive, get"
kama jo,"vt obtain, get"
kama jo,"vt take, get(?), obtain(?)"
kama jo :: get ,
"kama jo e lupa meli :: to get genital reconstruction surgery as a women, i.e. vaginoplasty ",
